author_id,review_count,name,role,profile_url,average_rating,rating_count,text_review_count,record_create_timestamp
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:11:30.760278
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:11:31.710861
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:11:33.691070
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:11:34.654477
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:11:49.345641
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:11:55.010473
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:11:56.848488
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:11:57.802311
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:11:58.687448
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:12:00.658897
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:12:01.615112
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:12:02.618472
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:12:04.512150
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:12:05.452703
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:12:20.048698
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:12:25.643975
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:12:27.506668
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:12:28.529169
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:12:29.418806
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:12:31.263869
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:12:32.423775
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:12:33.352166
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:12:35.219341
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:12:36.214865
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:12:50.774004
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:12:56.209443
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:12:58.018665
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:12:58.935409
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:12:59.909476
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:13:01.827034
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:13:02.805113
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:13:03.746226
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:13:05.646097
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:13:06.603727
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:13:21.091538
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:13:26.754142
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:13:28.602596
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:13:29.545118
6693411,20,Kim Liggett,"",https://www.goodreads.com/author/show/6693411.Kim_Liggett,4.02,14409,3690,2020-02-19 22:13:30.759799
6477494,20,Annabeth Albert,"",https://www.goodreads.com/author/show/6477494.Annabeth_Albert,3.92,55690,10942,2020-02-19 22:13:32.602398
7350402,20,Amy Poehler,"",https://www.goodreads.com/author/show/7350402.Amy_Poehler,3.84,405092,25738,2020-02-19 22:13:33.571941
3041690,20,Graham Moore,"",https://www.goodreads.com/author/show/3041690.Graham_Moore,4.00,39703,5868,2020-02-19 22:13:34.467968
1552866,20,يحيى الطاهر عبد الله,"",https://www.goodreads.com/author/show/1552866._,3.84,1120,188,2020-02-19 22:13:36.364895
671707,20,Joan Kilby,"",https://www.goodreads.com/author/show/671707.Joan_Kilby,3.75,2061,431,2020-02-19 22:13:37.315104
19790984,20,Avery North,"",https://www.goodreads.com/author/show/19790984.Avery_North,4.01,143,103,2020-02-19 22:13:51.804359
182609,20,Margot Livesey,"",https://www.goodreads.com/author/show/182609.Margot_Livesey,3.58,21877,3821,2020-02-19 22:13:57.313030
17015,20,P.C. Cast,"",https://www.goodreads.com/author/show/17015.P_C_Cast,3.94,2032243,59120,2020-02-19 22:13:59.119920
17168715,34,Alexandra Noir,"",https://www.goodreads.com/author/show/17168715.Alexandra_Noir,4.29,1327,910,2020-02-19 22:14:00.077323
